RBD;DV_RBD;NOM_RBD;COD_DEPE2;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2022_25;SEL2022_35;SEL
10662;3;COLEGIO SAINT MARY COLLEGE;2;13;13402;BUIN;0;66.04523;69.69998;71.3;100.0;72.8;85.64981;1332;72.7137;1;2;1
10663;1;CENTRO EDUC. ENRIQUE BERNSTEIN CARABANTE;1;13;13404;PAINE;0;27.80582;61.98965;99.01111;100.0;70.8;83.62211;1333;57.5228;2;2;3
10665;8;ESCUELA ALEMANIA;1;13;13404;PAINE;0;28.3184;54.09629;94.2;98.64865;86.8;85.7812;1313;56.4616;2;2;3
10666;6;LICEO POLIVALENTE GREGORIO MORALES MIRANDA;1;13;13404;PAINE;0;31.41488;59.15277;99.77778;100.0;90.6;80.54845;1333;58.4236;2;2;3
10667;4;LICEO  MARIA CARVAJAL FUENZALIDA;1;13;13404;PAINE;1;33.33935;60.61323;88.9125;100.0;61.4;87.15446;1341;58.886;2;2;3
10668;2;ESCUELA ELIAS SANCHEZ ORTUZAR;1;13;13404;PAINE;1;32.54368;58.45254;98.2;100.0;91.2;88.54799;1322;60.3404;2;2;3
10669;0;ESCUELA  BARBARA KAST RIST;1;13;13404;PAINE;1;39.49485;68.70002;99.75;100.0;90.4;87.03697;1341;65.5022;1;2;1
10671;2;ESCUELA CARMEN REVECO NUNEZ;1;13;13404;PAINE;0;49.44132;68.67903;96.6625;100.0;88.4;91.57949;1322;69.8907;1;2;1
10672;0;COLEGIO  CHALLAY;1;13;13404;PAINE;1;42.90835;62.33917;97.775;94.59459;89.4;80.52976;1322;63.276;2;2;3
10673;9;ESCUELA BASICA F-N°835 HERMANOS SANCHEZ CERDA;1;13;13404;PAINE;0;39.90016;64.00473;87.0875;98.64865;70.0;86.14109;1322;62.3336;2;2;3
10674;7;ESCUELA SENDERO DE CULITRIN;1;13;13404;PAINE;1;32.69512;58.32568;97.525;98.64865;91.2;87.41543;1322;60.0443;2;2;3
10675;5;ESCUELA  LAS COLONIAS;1;13;13404;PAINE;1;35.18123;69.86144;96.4125;98.64865;82.8;86.81167;1322;63.5745;2;2;3
10676;3;ESCUELA BASICA G-N°830 FRANCISCO LETELIER VALDES;1;13;13404;PAINE;1;38.22363;61.85003;97.775;86.48649;94.2;76.01992;1322;60.4914;2;2;3
10677;1;ESCUELA BASICA G N°831 JAVIER EYZAGUIRRE ECHAURREN;1;13;13404;PAINE;1;30.74826;55.04648;96.4125;90.54054;64.6;89.16067;1322;57.2308;2;2;3
10679;8;ESCUELA  BASICA G-N°832 AGUILA SUR;1;13;13404;PAINE;1;41.44132;65.48612;93.925;100.0;83.2;89.69675;1321;65.1982;2;2;3
10680;1;ESCUELA HUGO PINO VILCHEZ;1;13;13404;PAINE;0;49.9593;67.78844;89.7125;100.0;76.96;86.67759;1321;67.7655;1;2;1
10685;2;COLEGIO PART. MARIA ANA MOGAS;2;13;13404;PAINE;0;57.1826;58.25177;98.8875;100.0;93.6;88.92845;1332;69.6456;1;2;1
10686;0;LICEO MUNICIPAL POETISA GABRIELA MISTRAL;1;13;13403;CALERA DE TANGO;1;31.42443;62.56206;98.6375;100.0;65.6;82.03221;1341;58.3898;2;2;3
10687;9;ESCUELA BASICA F-N°798 CALERA DE TANGO;1;13;13403;CALERA DE TANGO;1;38.36542;65.205;93.425;100.0;90.4;91.93165;1322;64.8031;2;1;2
10688;7;LICEO LONQUEN;1;13;13403;CALERA DE TANGO;1;37.88409;61.40832;98.64286;100.0;89.5;89.05192;1322;63.1964;2;2;3
